"Visiting_Page","Status_Code","Number_Of_links","links"
"https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2F",200,0,""
"https://medium.com/search",200,3,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fsearch,https://medium.com/search,"
"https://medium.com/m/app",200,2,"https://itunes.apple.com/app/medium-everyones-stories/id828256236?pt=698524&mt=8,https://play.google.com/store/apps/details?id=com.medium.reader,"
"https://medium.com/browse/726a53df8c8b",200,39,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F726a53df8c8b,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://medium.com/@mattielents,https://medium.com/@mattielents?source=catalog_tab---------0----------,https://medium.com/@mattielents/how-do-i-know-if-im-trans-bebe10cb2f02?source=catalog_tab---------0----------,https://medium.com/@mattielents/how-do-i-know-if-im-trans-bebe10cb2f02?source=catalog_tab---------0----------,https://medium.com/@mattielents/how-do-i-know-if-im-trans-bebe10cb2f02?source=catalog_tab---------0----------,https://medium.com/@mattielents/how-do-i-know-if-im-trans-bebe10cb2f02?source=catalog_tab---------0----------#--responses,https://medium.com/@anna_now,https://medium.com/@anna_now?source=catalog_tab---------1----------,https://medium.com/the-junction?source=catalog_tab---------1----------,https://medium.com/the-junction/life-hacking-isabel-4760f363c1dc?source=catalog_tab---------1----------,https://medium.com/the-junction/life-hacking-isabel-4760f363c1dc?source=catalog_tab---------1----------,https://medium.com/the-junction/life-hacking-isabel-4760f363c1dc?source=catalog_tab---------1----------,https://medium.com/the-junction/life-hacking-isabel-4760f363c1dc?source=catalog_tab---------1----------#--responses,https://medium.com/@shannonwatts,https://medium.com/@shannonwatts?source=catalog_tab---------2----------,https://medium.com/@shannonwatts/the-red-pom-hat-on-the-fearless-girl-and-the-wall-street-bro-65d111ecdc11?source=catalog_tab---------2----------,https://medium.com/@shannonwatts/the-red-pom-hat-on-the-fearless-girl-and-the-wall-street-bro-65d111ecdc11?source=catalog_tab---------2----------,https://medium.com/@shannonwatts/the-red-pom-hat-on-the-fearless-girl-and-the-wall-street-bro-65d111ecdc11?source=catalog_tab---------2----------,https://medium.com/@shannonwatts/the-red-pom-hat-on-the-fearless-girl-and-the-wall-street-bro-65d111ecdc11?source=catalog_tab---------2----------#--responses,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/49c2507259ba,"
"https://medium.com/browse/49c2507259ba",200,38,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F49c2507259ba,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://articlemag.ca/@cfhorgan,https://articlemag.ca/@cfhorgan?source=catalog_tab---------0----------,https://articlemag.ca?source=catalog_tab---------0----------,https://articlemag.ca/can-a-i-save-online-discourse-12a8c134cd36?source=catalog_tab---------0----------,https://articlemag.ca/can-a-i-save-online-discourse-12a8c134cd36?source=catalog_tab---------0----------,https://articlemag.ca/can-a-i-save-online-discourse-12a8c134cd36?source=catalog_tab---------0----------,https://thebillfold.com/@lisatella,https://thebillfold.com/@lisatella?source=catalog_tab---------1----------,https://thebillfold.com?source=catalog_tab---------1----------,https://thebillfold.com/robins-egg-blue-93628670efe?source=catalog_tab---------1----------,https://thebillfold.com/robins-egg-blue-93628670efe?source=catalog_tab---------1----------,https://thebillfold.com/robins-egg-blue-93628670efe?source=catalog_tab---------1----------,https://thebillfold.com/robins-egg-blue-93628670efe?source=catalog_tab---------1----------#--responses,https://medium.com/@Kathleen_M_Ryan,https://medium.com/@Kathleen_M_Ryan?source=catalog_tab---------2----------,https://medium.com/@Kathleen_M_Ryan/the-newspaper-and-the-pin-up-2daa3a10d849?source=catalog_tab---------2----------,https://medium.com/@Kathleen_M_Ryan/the-newspaper-and-the-pin-up-2daa3a10d849?source=catalog_tab---------2----------,https://medium.com/@Kathleen_M_Ryan/the-newspaper-and-the-pin-up-2daa3a10d849?source=catalog_tab---------2----------,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/ec17780b75e,"
"https://medium.com/browse/ec17780b75e",200,41,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fec17780b75e,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://warisboring.com/@warisboring,https://warisboring.com/@warisboring?source=catalog_tab---------0----------,https://warisboring.com?source=catalog_tab---------0----------,https://warisboring.com/trumps-naval-buildup-is-bundled-up-in-50s-nostalgia-6e65d3bc072?source=catalog_tab---------0----------,https://warisboring.com/trumps-naval-buildup-is-bundled-up-in-50s-nostalgia-6e65d3bc072?source=catalog_tab---------0----------,https://warisboring.com/trumps-naval-buildup-is-bundled-up-in-50s-nostalgia-6e65d3bc072?source=catalog_tab---------0----------,https://warisboring.com/trumps-naval-buildup-is-bundled-up-in-50s-nostalgia-6e65d3bc072?source=catalog_tab---------0----------#--responses,https://medium.com/@mtvnews,https://medium.com/@mtvnews?source=catalog_tab---------1----------,https://medium.com/mtvnews?source=catalog_tab---------1----------,https://medium.com/mtvnews/what-republicans-dont-understand-about-health-care-846d4895a257?source=catalog_tab---------1----------,https://medium.com/mtvnews/what-republicans-dont-understand-about-health-care-846d4895a257?source=catalog_tab---------1----------,https://medium.com/mtvnews/what-republicans-dont-understand-about-health-care-846d4895a257?source=catalog_tab---------1----------,https://medium.com/mtvnews/what-republicans-dont-understand-about-health-care-846d4895a257?source=catalog_tab---------1----------#--responses,https://thebuckleyclub.com/@ericwburns,https://thebuckleyclub.com/@ericwburns?source=catalog_tab---------2----------,https://thebuckleyclub.com?source=catalog_tab---------2----------,https://thebuckleyclub.com/when-issues-are-bundled-a387a89b6edd?source=catalog_tab---------2----------,https://thebuckleyclub.com/when-issues-are-bundled-a387a89b6edd?source=catalog_tab---------2----------,https://thebuckleyclub.com/when-issues-are-bundled-a387a89b6edd?source=catalog_tab---------2----------,https://thebuckleyclub.com/when-issues-are-bundled-a387a89b6edd?source=catalog_tab---------2----------#--responses,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/d39cf943f634,"
"https://medium.com/browse/d39cf943f634",200,40,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fd39cf943f634,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://iot-for-all.com/@hannahlizwhite,https://iot-for-all.com/@hannahlizwhite?source=catalog_tab---------0----------,https://iot-for-all.com?source=catalog_tab---------0----------,https://iot-for-all.com/bad-design-kills-self-driving-cars-or-not-3f02558acbb4?source=catalog_tab---------0----------,https://iot-for-all.com/bad-design-kills-self-driving-cars-or-not-3f02558acbb4?source=catalog_tab---------0----------,https://iot-for-all.com/bad-design-kills-self-driving-cars-or-not-3f02558acbb4?source=catalog_tab---------0----------,https://iot-for-all.com/bad-design-kills-self-driving-cars-or-not-3f02558acbb4?source=catalog_tab---------0----------#--responses,https://medium.com/@radhikaradhakrishnan,https://medium.com/@radhikaradhakrishnan?source=catalog_tab---------1----------,https://medium.com/radhika-radhakrishnan?source=catalog_tab---------1----------,https://medium.com/radhika-radhakrishnan/siri-i-was-abused-what-do-i-do-18e12f6f2aff?source=catalog_tab---------1----------,https://medium.com/radhika-radhakrishnan/siri-i-was-abused-what-do-i-do-18e12f6f2aff?source=catalog_tab---------1----------,https://medium.com/radhika-radhakrishnan/siri-i-was-abused-what-do-i-do-18e12f6f2aff?source=catalog_tab---------1----------,https://medium.com/radhika-radhakrishnan/siri-i-was-abused-what-do-i-do-18e12f6f2aff?source=catalog_tab---------1----------#--responses,https://hackernoon.com/@matthewbiggins,https://hackernoon.com/@matthewbiggins?source=catalog_tab---------2----------,https://hackernoon.com?source=catalog_tab---------2----------,https://hackernoon.com/wireless-charging-a-world-without-wires-2ee2a33fb3e2?source=catalog_tab---------2----------,https://hackernoon.com/wireless-charging-a-world-without-wires-2ee2a33fb3e2?source=catalog_tab---------2----------,https://hackernoon.com/wireless-charging-a-world-without-wires-2ee2a33fb3e2?source=catalog_tab---------2----------,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/6a54fee5ae11,"
"https://medium.com/browse/6a54fee5ae11",200,40,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F6a54fee5ae11,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://beyondtherobot.com/@beyondtherobot,https://beyondtherobot.com/@beyondtherobot?source=catalog_tab---------0----------,https://beyondtherobot.com?source=catalog_tab---------0----------,https://beyondtherobot.com/the-weight-that-isnt-there-dfd061087caa?source=catalog_tab---------0----------,https://beyondtherobot.com/the-weight-that-isnt-there-dfd061087caa?source=catalog_tab---------0----------,https://beyondtherobot.com/the-weight-that-isnt-there-dfd061087caa?source=catalog_tab---------0----------,https://beyondtherobot.com/the-weight-that-isnt-there-dfd061087caa?source=catalog_tab---------0----------#--responses,https://melmagazine.com/@MEL_editor,https://melmagazine.com/@MEL_editor?source=catalog_tab---------1----------,https://melmagazine.com?source=catalog_tab---------1----------,https://melmagazine.com/booze-weed-food-comas-caffeine-how-to-sober-up-from-everything-b6147be6ac67?source=catalog_tab---------1----------,https://melmagazine.com/booze-weed-food-comas-caffeine-how-to-sober-up-from-everything-b6147be6ac67?source=catalog_tab---------1----------,https://melmagazine.com/booze-weed-food-comas-caffeine-how-to-sober-up-from-everything-b6147be6ac67?source=catalog_tab---------1----------,https://crossingenres.com/@haikutography,https://crossingenres.com/@haikutography?source=catalog_tab---------2----------,https://crossingenres.com?source=catalog_tab---------2----------,https://crossingenres.com/the-importance-of-being-unimportant-3ff0100add7f?source=catalog_tab---------2----------,https://crossingenres.com/the-importance-of-being-unimportant-3ff0100add7f?source=catalog_tab---------2----------,https://crossingenres.com/the-importance-of-being-unimportant-3ff0100add7f?source=catalog_tab---------2----------,https://crossingenres.com/the-importance-of-being-unimportant-3ff0100add7f?source=catalog_tab---------2----------#--responses,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/2877d3464fd6,"
"https://medium.com/browse/2877d3464fd6",200,39,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2F2877d3464fd6,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://articlemag.ca/@denimsue01,https://articlemag.ca/@denimsue01?source=catalog_tab---------0----------,https://articlemag.ca?source=catalog_tab---------0----------,https://articlemag.ca/what-would-jeff-probsts-america-look-like-e125ac65d9dc?source=catalog_tab---------0----------,https://articlemag.ca/what-would-jeff-probsts-america-look-like-e125ac65d9dc?source=catalog_tab---------0----------,https://articlemag.ca/what-would-jeff-probsts-america-look-like-e125ac65d9dc?source=catalog_tab---------0----------,https://theringer.com/@kaustincollins,https://theringer.com/@kaustincollins?source=catalog_tab---------1----------,https://theringer.com?source=catalog_tab---------1----------,https://theringer.com/beauty-and-the-beast-review-2231ba0ec734?source=catalog_tab---------1----------,https://theringer.com/beauty-and-the-beast-review-2231ba0ec734?source=catalog_tab---------1----------,https://theringer.com/beauty-and-the-beast-review-2231ba0ec734?source=catalog_tab---------1----------,https://medium.com/@jonehburton,https://medium.com/@jonehburton?source=catalog_tab---------2----------,https://medium.com/poets-unlimited?source=catalog_tab---------2----------,https://medium.com/poets-unlimited/even-in-luxury-6f37474bf9d2?source=catalog_tab---------2----------,https://medium.com/poets-unlimited/even-in-luxury-6f37474bf9d2?source=catalog_tab---------2----------,https://medium.com/poets-unlimited/even-in-luxury-6f37474bf9d2?source=catalog_tab---------2----------,https://medium.com/poets-unlimited/even-in-luxury-6f37474bf9d2?source=catalog_tab---------2----------#--responses,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/bb135c40d2f0,"
"https://medium.com/browse/bb135c40d2f0",200,40,"https://medium.com/,https://medium.com/m/signin?redirect=https%3A%2F%2Fmedium.com%2Fbrowse%2Fbb135c40d2f0,https://medium.com/search,https://medium.com/,https://medium.com/browse/726a53df8c8b,https://medium.com/browse/49c2507259ba,https://medium.com/browse/ec17780b75e,https://medium.com/browse/d39cf943f634,https://medium.com/browse/6a54fee5ae11,https://medium.com/browse/2877d3464fd6,https://medium.com/browse/bb135c40d2f0,https://medium.com/browse/febd249940e9,https://medium.com/browse/bookmarks,https://medium.com/@mbogen,https://medium.com/@mbogen?source=catalog_tab---------0----------,https://medium.com/equal-future?source=catalog_tab---------0----------,https://medium.com/equal-future/uber-and-the-taking-economy-b75d0b978bf8?source=catalog_tab---------0----------,https://medium.com/equal-future/uber-and-the-taking-economy-b75d0b978bf8?source=catalog_tab---------0----------,https://medium.com/equal-future/uber-and-the-taking-economy-b75d0b978bf8?source=catalog_tab---------0----------,https://mfbt.ca/@shappy,https://mfbt.ca/@shappy?source=catalog_tab---------1----------,https://mfbt.ca?source=catalog_tab---------1----------,https://mfbt.ca/that-time-you-failed-to-follow-up-on-diversity-cd701f52da6c?source=catalog_tab---------1----------,https://mfbt.ca/that-time-you-failed-to-follow-up-on-diversity-cd701f52da6c?source=catalog_tab---------1----------,https://mfbt.ca/that-time-you-failed-to-follow-up-on-diversity-cd701f52da6c?source=catalog_tab---------1----------,https://mfbt.ca/that-time-you-failed-to-follow-up-on-diversity-cd701f52da6c?source=catalog_tab---------1----------#--responses,https://medium.com/@kickstarter,https://medium.com/@kickstarter?source=catalog_tab---------2----------,https://medium.com/kickstarter?source=catalog_tab---------2----------,https://medium.com/kickstarter/shape-shifters-4c3b292526fb?source=catalog_tab---------2----------,https://medium.com/kickstarter/shape-shifters-4c3b292526fb?source=catalog_tab---------2----------,https://medium.com/kickstarter/shape-shifters-4c3b292526fb?source=catalog_tab---------2----------,https://medium.com/kickstarter/shape-shifters-4c3b292526fb?source=catalog_tab---------2----------#--responses,https://help.medium.com,https://medium.statuspage.io,https://medium.com/3minread,https://jobs.medium.com,https://medium.com/policy/f03bf92035c9,https://about.medium.com,https://medium.com/browse/febd249940e9,"
